County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Orange County, Vermont",50017,Rural,35.2,7711,"387 of 3143"
"Jackson County, Illinois",17077,Rural,35.2,11287,"388 of 3143"
"Harrisonburg City, Virginia",51660,Urban,35.2,9247,"389 of 3143"
"Cuyahoga County, Ohio",39035,Urban,35.2,312892,"390 of 3143"
"Gloucester County, New Jersey",34015,Urban,35.2,73060,"391 of 3143"
"Buffalo County, Nebraska",31019,Rural,35.2,10911,"392 of 3143"
"Blue Earth County, Minnesota",27013,Urban,35.2,14262,"393 of 3143"
"Martin County, Florida",12085,Urban,35.1,43470,"394 of 3143"
"Pinellas County, Florida",12103,Urban,35.1,261455,"395 of 3143"
"Maricopa County, Arizona",04013,Urban,35.0,1045073,"396 of 3143"
"Pima County, Arizona",04019,Urban,35.0,246889,"397 of 3143"
"Clay County, Missouri",29047,Urban,34.9,60237,"398 of 3143"
"Broward County, Florida",12011,Urban,34.9,483243,"399 of 3143"
"Scott County, Iowa",19163,Urban,34.9,41327,"400 of 3143"
"St. Marys County, Maryland",24037,Urban,34.9,26586,"401 of 3143"
"Nicollet County, Minnesota",27103,Urban,34.9,7793,"402 of 3143"
"Baltimore City, Maryland",24510,Urban,34.9,143174,"403 of 3143"
"Flathead County, Montana",30029,Rural,34.9,26431,"404 of 3143"
"King George County, Virginia",51099,Rural,34.9,6267,"405 of 3143"
