County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Columbiana County, Ohio",39029,Rural,16.5,12129,"2364 of 3143"
"Emporia City, Virginia",51595,Rural,16.5,629,"2365 of 3143"
"Simpson County, Mississippi",28127,Urban,16.5,2904,"2366 of 3143"
"Todd County, Kentucky",21219,Rural,16.5,1313,"2367 of 3143"
"Russell County, Kentucky",21207,Rural,16.4,2042,"2368 of 3143"
"Yuma County, Arizona",04027,Urban,16.4,21570,"2369 of 3143"
"Bland County, Virginia",51021,Rural,16.4,820,"2370 of 3143"
"Garvin County, Oklahoma",40049,Rural,16.4,2828,"2371 of 3143"
"Montgomery County, Arkansas",05097,Rural,16.4,1060,"2372 of 3143"
"Pawnee County, Oklahoma",40117,Urban,16.4,1768,"2373 of 3143"
"Tyler County, West Virginia",54095,Rural,16.4,1013,"2374 of 3143"
"Wilkes County, North Carolina",37193,Rural,16.4,7824,"2375 of 3143"
"Monroe County, Missouri",29137,Rural,16.4,1000,"2376 of 3143"
"Ste. Genevieve County, Missouri",29186,Rural,16.4,2162,"2377 of 3143"
"St. John the Baptist Parish, Louisiana",22095,Urban,16.4,4546,"2378 of 3143"
"Hale County, Alabama",01065,Urban,16.4,1634,"2379 of 3143"
"Toombs County, Georgia",13279,Rural,16.4,2831,"2380 of 3143"
"Russell County, Alabama",01113,Urban,16.4,6524,"2381 of 3143"
"Keokuk County, Iowa",19107,Rural,16.4,1143,"2382 of 3143"
"Evans County, Georgia",13109,Rural,16.4,1141,"2383 of 3143"
"Chester County, Tennessee",47023,Urban,16.4,1846,"2384 of 3143"
"Richland Parish, Louisiana",22083,Urban,16.3,2204,"2385 of 3143"
"Taylor County, Georgia",13269,Rural,16.3,901,"2386 of 3143"
"Iosco County, Michigan",26069,Rural,16.3,3203,"2387 of 3143"
"Clinton County, Indiana",18023,Rural,16.3,3492,"2388 of 3143"
"Fentress County, Tennessee",47049,Rural,16.3,2196,"2389 of 3143"
"De Soto Parish, Louisiana",22031,Urban,16.3,3009,"2390 of 3143"
"Lowndes County, Alabama",01085,Urban,16.3,1148,"2391 of 3143"
"Covington County, Alabama",01039,Rural,16.3,4313,"2392 of 3143"
"Fulton County, Pennsylvania",42057,Rural,16.3,1725,"2393 of 3143"
"Knott County, Kentucky",21119,Rural,16.3,1624,"2394 of 3143"
"Darke County, Ohio",39037,Rural,16.3,5755,"2395 of 3143"
"Patrick County, Virginia",51141,Rural,16.3,2208,"2396 of 3143"
"Karnes County, Texas",48255,Rural,16.3,1684,"2397 of 3143"
"Wise County, Virginia",51195,Rural,16.3,4230,"2398 of 3143"
"Polk County, Arkansas",05113,Rural,16.3,2199,"2399 of 3143"
"Marion County, Texas",48315,Rural,16.3,1176,"2400 of 3143"
"Lincoln County, Georgia",13181,Urban,16.2,925,"2401 of 3143"
"Rolette County, North Dakota",38079,Rural,16.2,1162,"2402 of 3143"
"Butte County, Idaho",16023,Urban,16.2,304,"2403 of 3143"
"Chautauqua County, Kansas",20019,Rural,16.2,391,"2404 of 3143"
"Calhoun County, Texas",48057,Rural,16.2,2207,"2405 of 3143"
"Charles City County, Virginia",51036,Urban,16.2,862,"2406 of 3143"
"Traverse County, Minnesota",27155,Rural,16.2,379,"2407 of 3143"
"Jackson County, Alabama",01071,Rural,16.2,6123,"2408 of 3143"
"Attala County, Mississippi",28007,Rural,16.2,1896,"2409 of 3143"
"Cherokee County, Texas",48073,Rural,16.2,5403,"2410 of 3143"
"Newton County, Mississippi",28101,Rural,16.2,2206,"2411 of 3143"
"Perry County, Indiana",18123,Rural,16.2,2209,"2412 of 3143"
"Panola County, Texas",48365,Rural,16.2,2470,"2413 of 3143"
"Caldwell County, Kentucky",21033,Rural,16.1,1431,"2414 of 3143"
"East Feliciana Parish, Louisiana",22037,Urban,16.1,2364,"2415 of 3143"
"Greene County, Indiana",18055,Rural,16.1,3539,"2416 of 3143"
"Stokes County, North Carolina",37169,Urban,16.1,5319,"2417 of 3143"
"Juneau County, Wisconsin",55057,Rural,16.1,3175,"2418 of 3143"
"Crawford County, Iowa",19047,Rural,16.1,1716,"2419 of 3143"
"Lyon County, Nevada",32019,Urban,16.1,6937,"2420 of 3143"
"Levy County, Florida",12075,Urban,16.1,5122,"2421 of 3143"
"Bedford County, Pennsylvania",42009,Rural,16.1,5616,"2422 of 3143"
"Madison County, Missouri",29123,Rural,16.1,1395,"2423 of 3143"
"Price County, Wisconsin",55099,Rural,16.1,1723,"2424 of 3143"
"Monroe County, Mississippi",28095,Rural,16.1,3805,"2425 of 3143"
"Cross County, Arkansas",05037,Rural,16.1,1858,"2426 of 3143"
"Branch County, Michigan",26023,Rural,16.1,4973,"2427 of 3143"
"Nottoway County, Virginia",51135,Rural,16.1,1801,"2428 of 3143"
"Sharkey County, Mississippi",28125,Rural,16.0,403,"2429 of 3143"
"Foard County, Texas",48155,Rural,16.0,112,"2430 of 3143"
"Brunswick County, Virginia",51025,Rural,16.0,1936,"2431 of 3143"
"Columbia County, Florida",12023,Rural,16.0,7777,"2432 of 3143"
"Panola County, Mississippi",28107,Rural,16.0,3550,"2433 of 3143"
"Quay County, New Mexico",35037,Rural,16.0,1023,"2434 of 3143"
"Gray County, Texas",48179,Rural,16.0,2254,"2435 of 3143"
"Floyd County, Texas",48153,Rural,16.0,559,"2436 of 3143"
"Dawson County, Nebraska",31047,Rural,16.0,2485,"2437 of 3143"
"Hertford County, North Carolina",37091,Rural,16.0,2425,"2438 of 3143"
"George County, Mississippi",28039,Rural,16.0,2587,"2439 of 3143"
"Sherman County, Oregon",41055,Rural,16.0,219,"2440 of 3143"
"Cook County, Georgia",13075,Rural,16.0,1791,"2441 of 3143"
"San Jacinto County, Texas",48407,Urban,16.0,3130,"2442 of 3143"
"Stephens County, Georgia",13257,Rural,16.0,2930,"2443 of 3143"
"White County, Illinois",17193,Rural,16.0,1597,"2444 of 3143"
"Montgomery County, Missouri",29139,Rural,16.0,1284,"2445 of 3143"
"Prairie County, Arkansas",05117,Rural,16.0,958,"2446 of 3143"
"Monroe County, Kentucky",21171,Rural,16.0,1252,"2447 of 3143"
"Okmulgee County, Oklahoma",40111,Urban,16.0,3943,"2448 of 3143"
"Knox County, Missouri",29103,Rural,16.0,399,"2449 of 3143"
"Craig County, Virginia",51045,Urban,16.0,555,"2450 of 3143"
"Greenwood County, Kansas",20073,Rural,16.0,695,"2451 of 3143"
"Tazewell County, Virginia",51185,Rural,15.9,4639,"2452 of 3143"
"Pearl River County, Mississippi",28109,Rural,15.9,6158,"2453 of 3143"
"Little River County, Arkansas",05081,Urban,15.9,1340,"2454 of 3143"
"Lincoln County, Oklahoma",40081,Urban,15.9,3699,"2455 of 3143"
"Imperial County, California",06025,Urban,15.9,17540,"2456 of 3143"
"Minidoka County, Idaho",16067,Rural,15.9,2141,"2457 of 3143"
"Carroll County, Virginia",51035,Rural,15.9,3477,"2458 of 3143"
"Henry County, Missouri",29083,Rural,15.9,2494,"2459 of 3143"
"Jackson County, Wisconsin",55053,Rural,15.9,2368,"2460 of 3143"
"Suwannee County, Florida",12121,Rural,15.9,4942,"2461 of 3143"
"Jackson County, Ohio",39079,Rural,15.9,3547,"2462 of 3143"
"Duplin County, North Carolina",37061,Rural,15.9,5300,"2463 of 3143"
"Cleveland County, Arkansas",05025,Rural,15.9,859,"2464 of 3143"
"Pike County, Kentucky",21195,Rural,15.8,6586,"2465 of 3143"
"Tippah County, Mississippi",28139,Rural,15.8,2260,"2466 of 3143"
"Rusk County, Texas",48401,Urban,15.8,5716,"2467 of 3143"
"Langlade County, Wisconsin",55067,Rural,15.8,2269,"2468 of 3143"
"Taylor County, Wisconsin",55119,Rural,15.8,2201,"2469 of 3143"
"Maverick County, Texas",48323,Urban,15.8,5251,"2470 of 3143"
"Grady County, Georgia",13131,Rural,15.8,2797,"2471 of 3143"
"Wayne County, Illinois",17191,Rural,15.8,1789,"2472 of 3143"
"Stewart County, Georgia",13259,Urban,15.8,661,"2473 of 3143"
"Hardin County, Tennessee",47071,Rural,15.8,3062,"2474 of 3143"
"Gooding County, Idaho",16047,Rural,15.8,1588,"2475 of 3143"
"Fayette County, West Virginia",54019,Urban,15.8,4652,"2476 of 3143"
"Haskell County, Kansas",20081,Rural,15.8,384,"2477 of 3143"
"Hempstead County, Arkansas",05057,Rural,15.8,2100,"2478 of 3143"
"Fleming County, Kentucky",21069,Rural,15.8,1611,"2479 of 3143"
"Lawrence County, Alabama",01079,Urban,15.8,3705,"2480 of 3143"
"Arkansas County, Arkansas",05001,Rural,15.8,1876,"2481 of 3143"
"Ralls County, Missouri",29173,Rural,15.8,1170,"2482 of 3143"
"Douglas County, Missouri",29067,Rural,15.7,1335,"2483 of 3143"
"Briscoe County, Texas",48045,Rural,15.7,154,"2484 of 3143"
"Grant County, Kentucky",21081,Urban,15.7,2531,"2485 of 3143"
"San Juan County, New Mexico",35045,Urban,15.7,12553,"2486 of 3143"
"Jones County, North Carolina",37103,Rural,15.7,1078,"2487 of 3143"
"McMullen County, Texas",48311,Rural,15.7,68,"2488 of 3143"
"Forest County, Wisconsin",55041,Rural,15.7,1068,"2489 of 3143"
"Halifax County, North Carolina",37083,Rural,15.7,5467,"2490 of 3143"
"Screven County, Georgia",13251,Rural,15.7,1612,"2491 of 3143"
"Covington County, Mississippi",28031,Rural,15.7,1914,"2492 of 3143"
"McCurtain County, Oklahoma",40089,Rural,15.7,3200,"2493 of 3143"
"Dallas County, Alabama",01047,Rural,15.7,4078,"2494 of 3143"
"Monona County, Iowa",19133,Rural,15.7,973,"2495 of 3143"
"Ashtabula County, Ohio",39007,Urban,15.7,10765,"2496 of 3143"
"Ohio County, Indiana",18115,Urban,15.7,688,"2497 of 3143"
"Caribou County, Idaho",16029,Rural,15.7,705,"2498 of 3143"
"Rush County, Indiana",18139,Rural,15.7,1823,"2499 of 3143"
"Colleton County, South Carolina",45029,Rural,15.7,4217,"2500 of 3143"
"Crane County, Texas",48103,Rural,15.7,453,"2501 of 3143"
"Marshall County, Oklahoma",40095,Rural,15.6,1669,"2502 of 3143"
"Worth County, Missouri",29227,Rural,15.6,219,"2503 of 3143"
"Wilkes County, Georgia",13317,Rural,15.6,1097,"2504 of 3143"
"Lawrence County, Tennessee",47099,Rural,15.6,4666,"2505 of 3143"
"Decatur County, Tennessee",47039,Rural,15.6,1301,"2506 of 3143"
"Adams County, Wisconsin",55001,Rural,15.6,2593,"2507 of 3143"
"Monroe County, Tennessee",47123,Rural,15.6,5233,"2508 of 3143"
"Vermilion County, Illinois",17183,Rural,15.6,7909,"2509 of 3143"
"Tulare County, California",06107,Urban,15.6,43870,"2510 of 3143"
"Crockett County, Texas",48105,Rural,15.6,366,"2511 of 3143"
"Hutchinson County, Texas",48233,Rural,15.6,2111,"2512 of 3143"
"Miller County, Arkansas",05091,Urban,15.6,4517,"2513 of 3143"
"Emery County, Utah",49015,Rural,15.6,980,"2514 of 3143"
"Jackson County, South Dakota",46071,Rural,15.6,267,"2515 of 3143"
"Baraga County, Michigan",26013,Rural,15.6,973,"2516 of 3143"
"Randolph County, Arkansas",05121,Rural,15.5,1989,"2517 of 3143"
"Jack County, Texas",48237,Rural,15.5,908,"2518 of 3143"
"Huron County, Ohio",39077,Rural,15.5,6203,"2519 of 3143"
"Crockett County, Tennessee",47033,Urban,15.5,1472,"2520 of 3143"
"Miami County, Indiana",18103,Rural,15.5,3912,"2521 of 3143"
"Union County, New Mexico",35059,Rural,15.5,444,"2522 of 3143"
"Lake and Peninsula Borough, Alaska",02164,Rural,15.5,101,"2523 of 3143"
"Hot Spring County, Arkansas",05059,Rural,15.5,3724,"2524 of 3143"
"St. Francois County, Missouri",29187,Rural,15.5,7303,"2525 of 3143"
"Bent County, Colorado",08011,Rural,15.5,661,"2526 of 3143"
"Mason County, West Virginia",54053,Rural,15.5,2849,"2527 of 3143"
"Martin County, North Carolina",37117,Rural,15.5,2478,"2528 of 3143"
"Hopkins County, Kentucky",21107,Rural,15.5,4858,"2529 of 3143"
"Taylor County, Iowa",19173,Rural,15.5,635,"2530 of 3143"
"Greene County, Illinois",17061,Rural,15.4,1313,"2531 of 3143"
"Rockingham County, North Carolina",37157,Urban,15.4,10198,"2532 of 3143"
"Pope County, Illinois",17151,Rural,15.4,448,"2533 of 3143"
"Vinton County, Ohio",39163,Rural,15.4,1398,"2534 of 3143"
"Aleutians West Census Area, Alaska",02016,Rural,15.4,596,"2535 of 3143"
"Ottawa County, Oklahoma",40115,Rural,15.4,3053,"2536 of 3143"
"Caswell County, North Carolina",37033,Rural,15.4,2573,"2537 of 3143"
"Fayette County, Indiana",18041,Rural,15.4,2518,"2538 of 3143"
"Paulding County, Ohio",39125,Rural,15.4,2004,"2539 of 3143"
"Cass County, Indiana",18017,Rural,15.4,4013,"2540 of 3143"
"Sussex County, Virginia",51183,Urban,15.4,1228,"2541 of 3143"
"Pine County, Minnesota",27115,Rural,15.4,3304,"2542 of 3143"
"Talbot County, Georgia",13263,Urban,15.4,679,"2543 of 3143"
"Adams County, Indiana",18001,Rural,15.4,3306,"2544 of 3143"
"Clay County, Arkansas",05021,Rural,15.4,1591,"2545 of 3143"
"Lincoln County, Kentucky",21137,Rural,15.4,2572,"2546 of 3143"
"Upson County, Georgia",13293,Rural,15.4,2929,"2547 of 3143"
"Audrain County, Missouri",29007,Rural,15.4,2664,"2548 of 3143"
"Pike County, Missouri",29163,Rural,15.4,1903,"2549 of 3143"
"Mayes County, Oklahoma",40097,Rural,15.4,4135,"2550 of 3143"
"Titus County, Texas",48449,Rural,15.3,2982,"2551 of 3143"
"Franklin Parish, Louisiana",22041,Rural,15.3,2012,"2552 of 3143"
"Lincoln County, Nevada",32017,Rural,15.3,489,"2553 of 3143"
"Sutton County, Texas",48435,Rural,15.3,303,"2554 of 3143"
"Bailey County, Texas",48017,Rural,15.3,666,"2555 of 3143"
"Lawrence County, Missouri",29109,Rural,15.3,3898,"2556 of 3143"
"Alexander County, North Carolina",37003,Urban,15.3,4040,"2557 of 3143"
"Essex County, Virginia",51057,Rural,15.3,1181,"2558 of 3143"
"Neshoba County, Mississippi",28099,Rural,15.3,2782,"2559 of 3143"
"Tuscola County, Michigan",26157,Rural,15.3,5890,"2560 of 3143"
"Owen County, Indiana",18119,Urban,15.3,2364,"2561 of 3143"
"Walker County, Alabama",01127,Urban,15.3,6923,"2562 of 3143"
"Love County, Oklahoma",40085,Rural,15.3,1034,"2563 of 3143"
"Sanilac County, Michigan",26151,Rural,15.3,4439,"2564 of 3143"
"Anderson County, Kansas",20003,Rural,15.3,798,"2565 of 3143"
"Jim Wells County, Texas",48249,Rural,15.3,3795,"2566 of 3143"
"Clark County, Idaho",16033,Rural,15.3,76,"2567 of 3143"
"Itawamba County, Mississippi",28057,Rural,15.3,2441,"2568 of 3143"
"Clarke County, Iowa",19039,Rural,15.2,962,"2569 of 3143"
"Williamsburg County, South Carolina",45089,Rural,15.2,3423,"2570 of 3143"
"Alleghany County and Clifton Forge City, Virginia",51005,Rural,15.2,1701,"2571 of 3143"
"Phillips County, Arkansas",05107,Rural,15.2,1626,"2572 of 3143"
"Larue County, Kentucky",21123,Urban,15.2,1588,"2573 of 3143"
"Marion County, Arkansas",05089,Rural,15.2,1961,"2574 of 3143"
"Monroe County, West Virginia",54063,Rural,15.2,1365,"2575 of 3143"
"Perry County, Alabama",01105,Rural,15.2,809,"2576 of 3143"
"Adams County, Ohio",39001,Rural,15.2,2860,"2577 of 3143"
"Eureka County, Nevada",32011,Rural,15.2,169,"2578 of 3143"
"Ontonagon County, Michigan",26131,Rural,15.2,740,"2579 of 3143"
"Jefferson Davis Parish, Louisiana",22053,Urban,15.2,3263,"2580 of 3143"
"Emmet County, Iowa",19063,Rural,15.2,1015,"2581 of 3143"
"Perry County, Arkansas",05105,Urban,15.2,1087,"2582 of 3143"
"Montmorency County, Michigan",26119,Rural,15.2,1114,"2583 of 3143"
"Texas County, Missouri",29215,Rural,15.2,2682,"2584 of 3143"
"Highland County, Ohio",39071,Rural,15.2,4492,"2585 of 3143"
"Beckham County, Oklahoma",40009,Rural,15.2,2320,"2586 of 3143"
"Le Flore County, Oklahoma",40079,Rural,15.2,4941,"2587 of 3143"
"Northwest Arctic Borough, Alaska",02188,Rural,15.2,641,"2588 of 3143"
"Wirt County, West Virginia",54105,Urban,15.2,583,"2589 of 3143"
"Marion County, Tennessee",47115,Urban,15.1,3134,"2590 of 3143"
"Daviess County, Indiana",18027,Rural,15.1,3149,"2591 of 3143"
"Ware County, Georgia",13299,Rural,15.1,3659,"2592 of 3143"
"Ray County, Missouri",29177,Urban,15.1,2435,"2593 of 3143"
"Randolph County, Indiana",18135,Rural,15.1,2579,"2594 of 3143"
"Stonewall County, Texas",48433,Rural,15.1,116,"2595 of 3143"
"Parke County, Indiana",18121,Rural,15.1,1728,"2596 of 3143"
"Powell County, Kentucky",21197,Rural,15.1,1343,"2597 of 3143"
"Caddo County, Oklahoma",40015,Rural,15.1,2757,"2598 of 3143"
"Benton County, Missouri",29015,Rural,15.0,2279,"2599 of 3143"
"Johnson County, Arkansas",05071,Rural,15.0,2592,"2600 of 3143"
"Wayne County, Iowa",19185,Rural,15.0,653,"2601 of 3143"
"Lenoir County, North Carolina",37107,Rural,15.0,5743,"2602 of 3143"
"Leon County, Texas",48289,Rural,15.0,1684,"2603 of 3143"
"Clay County, Illinois",17025,Rural,15.0,1389,"2604 of 3143"
"Grundy County, Missouri",29079,Rural,15.0,1000,"2605 of 3143"
"Pittsylvania County, Virginia",51143,Rural,15.0,6738,"2606 of 3143"
"Decatur County, Georgia",13087,Rural,15.0,2888,"2607 of 3143"
"Kanabec County, Minnesota",27065,Rural,15.0,1725,"2608 of 3143"
"Howard County, Arkansas",05061,Rural,15.0,1274,"2609 of 3143"
"Lewis County, Missouri",29111,Rural,15.0,954,"2610 of 3143"
"Sequoyah County, Oklahoma",40135,Urban,15.0,4020,"2611 of 3143"
"Ouachita County, Arkansas",05103,Rural,15.0,2356,"2612 of 3143"
"Shannon County, Missouri",29203,Rural,14.9,767,"2613 of 3143"
"Searcy County, Arkansas",05129,Rural,14.9,857,"2614 of 3143"
"Johnson County, Tennessee",47091,Rural,14.9,2051,"2615 of 3143"
"Guernsey County, Ohio",39059,Rural,14.9,4010,"2616 of 3143"
"Iberville Parish, Louisiana",22047,Urban,14.9,3194,"2617 of 3143"
"Catron County, New Mexico",35003,Rural,14.9,436,"2618 of 3143"
"Jasper County, Mississippi",28061,Rural,14.9,1687,"2619 of 3143"
"Sampson County, North Carolina",37163,Rural,14.9,5927,"2620 of 3143"
"Barry County, Missouri",29009,Rural,14.9,3638,"2621 of 3143"
"Hardy County, West Virginia",54031,Rural,14.9,1554,"2622 of 3143"
"Lucas County, Iowa",19117,Rural,14.9,903,"2623 of 3143"
"Stoddard County, Missouri",29207,Rural,14.9,2996,"2624 of 3143"
"Ziebach County, South Dakota",46137,Rural,14.9,220,"2625 of 3143"
"Glenn County, California",06021,Rural,14.9,2747,"2626 of 3143"
"Trinity County, Texas",48455,Rural,14.8,1481,"2627 of 3143"
"Todd County, Minnesota",27153,Rural,14.8,2604,"2628 of 3143"
"Carter County, Missouri",29035,Rural,14.8,532,"2629 of 3143"
"Berrien County, Georgia",13019,Rural,14.8,1844,"2630 of 3143"
"Franklin County, Alabama",01059,Rural,14.8,3166,"2631 of 3143"
"Seminole County, Oklahoma",40133,Rural,14.8,2314,"2632 of 3143"
"Fayette County, Illinois",17051,Rural,14.8,2254,"2633 of 3143"
"Harmon County, Oklahoma",40057,Rural,14.8,255,"2634 of 3143"
"Hale County, Texas",48189,Rural,14.8,2944,"2635 of 3143"
"Perry County, Ohio",39127,Urban,14.8,3616,"2636 of 3143"
"Mississippi County, Arkansas",05093,Rural,14.8,3882,"2637 of 3143"
"Tishomingo County, Mississippi",28141,Rural,14.8,1985,"2638 of 3143"
"Newton County, Arkansas",05101,Rural,14.8,774,"2639 of 3143"
"Houston County, Texas",48225,Rural,14.8,2411,"2640 of 3143"
"Atoka County, Oklahoma",40005,Rural,14.8,1484,"2641 of 3143"
"Blackford County, Indiana",18009,Rural,14.8,1252,"2642 of 3143"
"Pointe Coupee Parish, Louisiana",22077,Urban,14.8,2163,"2642 of 3143"
"Crawford County, Ohio",39033,Rural,14.8,4344,"2644 of 3143"
"Pocahontas County, West Virginia",54075,Rural,14.8,885,"2645 of 3143"
"Hocking County, Ohio",39073,Urban,14.7,2933,"2646 of 3143"
"Holmes County, Mississippi",28051,Urban,14.7,1585,"2647 of 3143"
"Henry County, Kentucky",21103,Urban,14.7,1592,"2648 of 3143"
"Dodge County, Georgia",13091,Rural,14.7,2125,"2649 of 3143"
"Blount County, Alabama",01009,Urban,14.7,6017,"2650 of 3143"
"Todd County, South Dakota",46121,Rural,14.7,692,"2651 of 3143"
"Massac County, Illinois",17127,Urban,14.7,1490,"2652 of 3143"
"Cibola County, New Mexico",35006,Rural,14.7,2708,"2653 of 3143"
"Kings County, California",06031,Urban,14.7,14001,"2654 of 3143"
"Adams County, Washington",53001,Rural,14.7,1657,"2655 of 3143"
"Fairfield County, South Carolina",45039,Urban,14.7,2252,"2656 of 3143"
"Colquitt County, Georgia",13071,Rural,14.7,4394,"2657 of 3143"
"Choctaw County, Oklahoma",40023,Rural,14.7,1421,"2658 of 3143"
"Page County, Virginia",51139,Rural,14.7,2552,"2659 of 3143"
"Power County, Idaho",16077,Rural,14.7,710,"2660 of 3143"
"Brooks County, Georgia",13027,Urban,14.7,1677,"2661 of 3143"
"Haskell County, Oklahoma",40061,Rural,14.7,1173,"2662 of 3143"
"Burke County, Georgia",13033,Urban,14.7,2284,"2663 of 3143"
"Mineral County, Nevada",32021,Rural,14.6,478,"2664 of 3143"
"Merced County, California",06047,Urban,14.6,24677,"2665 of 3143"
"Childress County, Texas",48075,Rural,14.6,731,"2666 of 3143"
"Gilchrist County, Florida",12041,Urban,14.6,1887,"2667 of 3143"
"Robeson County, North Carolina",37155,Rural,14.6,11092,"2668 of 3143"
"DeKalb County, Missouri",29063,Urban,14.6,1274,"2669 of 3143"
"Scotland County, Missouri",29199,Rural,14.6,427,"2670 of 3143"
"Hughes County, Oklahoma",40063,Rural,14.6,1367,"2671 of 3143"
"Lea County, New Mexico",35025,Rural,14.6,6338,"2672 of 3143"
"Malheur County, Oregon",41045,Rural,14.6,2992,"2673 of 3143"
"Cherokee County, Alabama",01019,Rural,14.6,2703,"2674 of 3143"
"Dimmit County, Texas",48127,Rural,14.6,777,"2675 of 3143"
"Arenac County, Michigan",26011,Rural,14.6,1649,"2676 of 3143"
"Ogemaw County, Michigan",26129,Rural,14.6,2287,"2677 of 3143"
"Johnson County, Kentucky",21115,Rural,14.6,2321,"2678 of 3143"
"Hampshire County, West Virginia",54027,Urban,14.6,2518,"2679 of 3143"
"Simpson County, Kentucky",21213,Rural,14.6,1926,"2680 of 3143"
"Brown County, Ohio",39015,Urban,14.5,4435,"2681 of 3143"
"Columbus County, North Carolina",37047,Rural,14.5,5216,"2682 of 3143"
"Atascosa County, Texas",48013,Urban,14.5,4581,"2683 of 3143"
"Lyon County, Kentucky",21143,Rural,14.5,1000,"2684 of 3143"
"Torrance County, New Mexico",35057,Urban,14.5,1543,"2685 of 3143"
"Pickens County, Alabama",01107,Urban,14.5,1972,"2686 of 3143"
"Pulaski County, Illinois",17153,Rural,14.5,526,"2687 of 3143"
"Carter County, Kentucky",21043,Urban,14.5,2656,"2688 of 3143"
"Smith County, Mississippi",28129,Rural,14.5,1419,"2689 of 3143"
"Scotland County, North Carolina",37165,Rural,14.5,3356,"2690 of 3143"
"Marquette County, Wisconsin",55077,Rural,14.5,1695,"2691 of 3143"
"Lee County, South Carolina",45061,Rural,14.4,1697,"2692 of 3143"
"Stone County, Arkansas",05137,Rural,14.4,1311,"2693 of 3143"
"Louisa County, Iowa",19115,Rural,14.4,1094,"2694 of 3143"
"Williams County, Ohio",39171,Rural,14.4,3717,"2695 of 3143"
"Webster Parish, Louisiana",22119,Rural,14.4,3666,"2696 of 3143"
"Mohave County, Arizona",04015,Urban,14.4,23879,"2697 of 3143"
"Cameron Parish, Louisiana",22023,Urban,14.4,568,"2698 of 3143"
"Dade County, Missouri",29057,Rural,14.4,798,"2699 of 3143"
"Henry County, Virginia",51089,Rural,14.4,5380,"2700 of 3143"
"Sullivan County, Missouri",29211,Rural,14.4,593,"2701 of 3143"
"Fulton County, Arkansas",05049,Rural,14.4,1253,"2702 of 3143"
"Ohio County, Kentucky",21183,Rural,14.4,2354,"2703 of 3143"
"Duchesne County, Utah",49013,Rural,14.4,1685,"2704 of 3143"
"Quitman County, Mississippi",28119,Rural,14.4,600,"2705 of 3143"
"Gladwin County, Michigan",26051,Rural,14.4,2726,"2706 of 3143"
"Montcalm County, Michigan",26117,Urban,14.4,6805,"2707 of 3143"
"Bath County, Kentucky",21011,Rural,14.4,1216,"2708 of 3143"
"Polk County, Georgia",13233,Rural,14.4,4097,"2709 of 3143"
"Logan County, Arkansas",05083,Rural,14.3,2179,"2710 of 3143"
"Juniata County, Pennsylvania",42067,Rural,14.3,2365,"2711 of 3143"
"Breckinridge County, Kentucky",21027,Rural,14.3,2031,"2712 of 3143"
"Barnwell County, South Carolina",45011,Rural,14.3,1974,"2713 of 3143"
"Sheridan County, North Dakota",38083,Rural,14.3,151,"2714 of 3143"
"Dallam County, Texas",48111,Rural,14.3,639,"2715 of 3143"
"Oregon County, Missouri",29149,Rural,14.3,881,"2716 of 3143"
"Stone County, Mississippi",28131,Urban,14.3,1694,"2717 of 3143"
"Colusa County, California",06011,Rural,14.3,2003,"2718 of 3143"
"Clay County, Kentucky",21051,Rural,14.3,2097,"2719 of 3143"
"Dakota County, Nebraska",31043,Urban,14.3,1839,"2720 of 3143"
"Hyde County, North Carolina",37095,Rural,14.2,528,"2721 of 3143"
"Washington County, Alabama",01129,Rural,14.2,1493,"2722 of 3143"
"Tensas Parish, Louisiana",22107,Rural,14.2,419,"2723 of 3143"
"St. Martin Parish, Louisiana",22099,Urban,14.2,4997,"2724 of 3143"
"North Slope Borough, Alaska",02185,Rural,14.2,1079,"2725 of 3143"
"Monroe County, Arkansas",05095,Rural,14.2,677,"2726 of 3143"
"Reynolds County, Missouri",29179,Rural,14.2,642,"2727 of 3143"
"Osceola County, Iowa",19143,Rural,14.2,620,"2728 of 3143"
"Harney County, Oregon",41025,Rural,14.2,779,"2729 of 3143"
"Jefferson Davis County, Mississippi",28065,Rural,14.2,1143,"2730 of 3143"
"Richland County, Montana",30083,Rural,14.2,1068,"2731 of 3143"
"Iberia Parish, Louisiana",22045,Rural,14.2,6505,"2732 of 3143"
"Knox County, Texas",48275,Rural,14.2,327,"2733 of 3143"
"DeKalb County, Alabama",01049,Rural,14.1,6846,"2734 of 3143"
"Jennings County, Indiana",18079,Rural,14.1,2690,"2735 of 3143"
"Yukon-Koyukuk Census Area, Alaska",02290,Rural,14.1,488,"2736 of 3143"
"Washington County, Indiana",18175,Urban,14.1,2770,"2737 of 3143"
"Baker County, Florida",12003,Urban,14.1,2660,"2738 of 3143"
"Wayne County, Georgia",13305,Rural,14.1,2862,"2739 of 3143"
"Lawrence County, Illinois",17101,Rural,14.1,1563,"2740 of 3143"
"Pike County, Indiana",18125,Rural,14.1,1215,"2741 of 3143"
"St. Landry Parish, Louisiana",22097,Rural,14.1,7570,"2742 of 3143"
"Yadkin County, North Carolina",37197,Urban,14.1,3744,"2743 of 3143"
"Metcalfe County, Kentucky",21169,Rural,14.1,1013,"2744 of 3143"
"Grayson County, Virginia",51077,Rural,14.1,1660,"2745 of 3143"
"Washington County, North Carolina",37187,Rural,14.1,1118,"2746 of 3143"
