County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Anderson County, Texas",48001,Rural,57445.000000000,"1926 of 3142"
"Blount County, Alabama",01009,Urban,57440.000000000,"1927 of 3142"
"Coffee County, Tennessee",47031,Rural,57424.000000000,"1928 of 3142"
"Reno County, Kansas",20155,Rural,57390.000000000,"1929 of 3142"
"Comanche County, Texas",48093,Rural,57383.000000000,"1930 of 3142"
"Jasper County, Georgia",13159,Urban,57374.000000000,"1931 of 3142"
"Spalding County, Georgia",13255,Urban,57367.000000000,"1932 of 3142"
"Massac County, Illinois",17127,Urban,57365.000000000,"1933 of 3142"
"Leon County, Texas",48289,Rural,57363.000000000,"1934 of 3142"
"Grant Parish, Louisiana",22043,Urban,57362.000000000,"1935 of 3142"
"Somerset County, Pennsylvania",42111,Rural,57357.000000000,"1936 of 3142"
"Mercer County, Pennsylvania",42085,Rural,57353.000000000,"1937 of 3142"
"Morrill County, Nebraska",31123,Rural,57325.000000000,"1938 of 3142"
"Polk County, Texas",48373,Rural,57315.000000000,"1939 of 3142"
"Chase County, Nebraska",31029,Rural,57313.000000000,"1940 of 3142"
"Prince Edward County, Virginia",51147,Rural,57304.000000000,"1941 of 3142"
"Jefferson County, Texas",48245,Urban,57294.000000000,"1942 of 3142"
"Lucas County, Ohio",39095,Urban,57265.000000000,"1943 of 3142"
"Rabun County, Georgia",13241,Rural,57261.000000000,"1944 of 3142"
"Stewart County, Tennessee",47161,Urban,57257.000000000,"1945 of 3142"
"Itawamba County, Mississippi",28057,Rural,57252.000000000,"1946 of 3142"
"Val Verde County, Texas",48465,Rural,57250.000000000,"1947 of 3142"
"Kidder County, North Dakota",38043,Rural,57240.000000000,"1948 of 3142"
"Fulton County, Illinois",17057,Rural,57223.000000000,"1949 of 3142"
"Wayne County, Michigan",26163,Urban,57223.000000000,"1949 of 3142"
"Klamath County, Oregon",41035,Rural,57219.000000000,"1951 of 3142"
"Nemaha County, Nebraska",31127,Rural,57196.000000000,"1952 of 3142"
"Sherman County, Oregon",41055,Rural,57171.000000000,"1953 of 3142"
"Indiana County, Pennsylvania",42063,Rural,57170.000000000,"1954 of 3142"
"Allen County, Kentucky",21003,Urban,57159.000000000,"1955 of 3142"
"Portsmouth City, Virginia",51740,Urban,57154.000000000,"1956 of 3142"
"Comanche County, Oklahoma",40031,Urban,57150.000000000,"1957 of 3142"
"Floyd County, Virginia",51063,Urban,57146.000000000,"1958 of 3142"
"Hoke County, North Carolina",37093,Urban,57141.000000000,"1959 of 3142"
"Seward County, Kansas",20175,Rural,57131.000000000,"1960 of 3142"
"Boyd County, Nebraska",31015,Rural,57120.000000000,"1961 of 3142"
"Ballard County, Kentucky",21007,Urban,57111.000000000,"1962 of 3142"
"Cimarron County, Oklahoma",40025,Rural,57100.000000000,"1963 of 3142"
"Union County, Tennessee",47173,Urban,57094.000000000,"1964 of 3142"
"Highland County, Virginia",51091,Rural,57070.000000000,"1965 of 3142"
"Grant County, North Dakota",38037,Rural,57069.000000000,"1966 of 3142"
"Clay County, North Carolina",37043,Rural,57065.000000000,"1967 of 3142"
"Stephens County, Oklahoma",40137,Rural,57065.000000000,"1967 of 3142"
"Angelina County, Texas",48005,Rural,57055.000000000,"1969 of 3142"
"Ashland County, Wisconsin",55003,Rural,57000.000000000,"1970 of 3142"
"Caswell County, North Carolina",37033,Rural,56999.000000000,"1971 of 3142"
"Milam County, Texas",48331,Rural,56985.000000000,"1972 of 3142"
"Clearfield County, Pennsylvania",42033,Rural,56982.000000000,"1973 of 3142"
"Cherokee County, Texas",48073,Rural,56971.000000000,"1974 of 3142"
"Crawford County, Georgia",13079,Urban,56948.000000000,"1975 of 3142"
"Belmont County, Ohio",39013,Urban,56943.000000000,"1976 of 3142"
"Christian County, Illinois",17021,Rural,56933.000000000,"1977 of 3142"
"Henderson County, Kentucky",21101,Rural,56912.000000000,"1978 of 3142"
"Franklin County, Maine",23007,Rural,56890.000000000,"1979 of 3142"
"Cattaraugus County, New York",36009,Rural,56889.000000000,"1980 of 3142"
"Greene County, Iowa",19073,Rural,56884.000000000,"1981 of 3142"
"Giles County, Tennessee",47055,Rural,56877.000000000,"1982 of 3142"
"Blaine County, Oklahoma",40011,Rural,56843.000000000,"1983 of 3142"
"Carroll County, Arkansas",05015,Rural,56826.000000000,"1984 of 3142"
