
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

"Pap Test in Past 3 Years, No Hysterectomy"
"All Races (includes Hispanic), Female, Ages 21-65"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Sarpy County, Nebraska",31153,78.2 ,67.8, 88.0
"Beadle County, South Dakota",46005,78.1 ,63.3, 90.7
"Bienville Parish, Louisiana",22013,78.1 ,61.0, 92.3
"Fillmore County, Minnesota",27045,78.1 ,64.5, 90.1
"Isabella County, Michigan",26073,78.1 ,66.0, 88.8
"Mercer County, Ohio",39107,78.1 ,66.3, 88.5
"New London County, Connecticut",09011,78.1 ,69.7, 86.3
"Okaloosa County, Florida",12091,78.1 ,67.4, 87.8
"Pershing County, Nevada",32027,78.1 ,61.0, 92.3
"Potter County, Pennsylvania",42105,78.1 ,60.9, 92.3
"Rensselaer County, New York",36083,78.1 ,67.9, 87.5
"Richmond City, Virginia",51760,78.1 ,65.7, 89.3
"Rockcastle County, Kentucky",21203,78.1 ,68.6, 86.7
"Vanderburgh County, Indiana",18163,78.1 ,66.2, 88.8
"Wayne County, Georgia",13305,78.1 ,67.6, 87.4
"Acadia Parish, Louisiana",22001,78.0 ,65.4, 89.3
"Anoka County, Minnesota",27003,78.0 ,68.5, 87.0
"Calhoun County, Mississippi",28013,78.0 ,63.3, 90.5
"Crowley County, Colorado",08025,78.0 ,60.7, 92.2
"De Witt County, Illinois",17039,78.0 ,60.1, 92.4
"Ellis County, Oklahoma",40045,78.0 ,60.5, 92.2
"Huntingdon County, Pennsylvania",42061,78.0 ,60.8, 92.2
"Jackson Parish, Louisiana",22049,78.0 ,63.5, 90.7
"Jefferson County, New York",36045,78.0 ,68.1, 87.1
"Jersey County, Illinois",17083,78.0 ,60.1, 92.5
"Rush County, Kansas",20165,78.0 ,60.9, 92.3
"Somerset County, New Jersey",34035,78.0 ,66.9, 88.2
"Thomas County, Nebraska",31171,78.0 ,60.9, 92.1
"Watauga County, North Carolina",37189,78.0 ,64.2, 90.1
"Wells County, North Dakota",38103,78.0 ,64.2, 90.2
"Andrews County, Texas",48003,77.9 ,63.0, 90.7
"Benson County, North Dakota",38005,77.9 ,64.2, 90.0
"Canyon County, Idaho",16027,77.9 ,70.2, 85.0
"Charlton County, Georgia",13049,77.9 ,60.7, 92.1
"Fulton County, Ohio",39051,77.9 ,63.4, 90.4
"Hancock County, Georgia",13141,77.9 ,61.0, 91.9
"Henrico County, Virginia",51087,77.9 ,70.7, 84.8
"Kent County, Rhode Island",44003,77.9 ,70.0, 85.4
"Montgomery County, Georgia",13209,77.9 ,60.6, 92.1
"Queen Annes County, Maryland",24035,77.9 ,66.9, 88.3
"Rockdale County, Georgia",13247,77.9 ,64.3, 90.0
